"OCLC #", "Title", "Author", "Language", "Item type", "Publication", "Publisher", "Database", "Notes", "Added date"
"841505134","שחיטות / Sheḥiṭot.","Jacob ben Judah Weil;  Tsevi Hirsh ben Yitsḥaḳ, mi-Ḳraḳo.","Hebrew","book_printbook","","דפוס ח׳ גרוישמאן,","","","2021-10-26 18:12"
"145083064","ספר אהל יצחק : על דיני שחיטות ובדיקות / Sefer Ohel Yitsḥaḳ : ʻal dine sheḥitot u-vediḳot","Jacob ben Judah Weil","Hebrew","book_printbook","","Lemberg, 1838.","","","2021-10-26 18:12"
"122713176","הלכות שחיטות ובדיקות עם פירוש ר׳ מאיר ב״ר יאקב ווראניקר מק״ק גלוגא. Hilkhot sheḥiṭot u-vediḳot ...","Jacob ben Judah Weil; of Glogau Meir b  Jakob","Hebrew","book_printbook","","בדפוס זלמן בן אהרן, Zultsbakh : Bi-defus Zalman ben Aharon, 488 [1728]","","","2021-10-26 18:12"
"1269811346","שחיטות ובדיקות Sheḥiṭot u-bediḳot","Yaʿaḳov Ben-Yehudah Ṿail; Shelomoh ben Yeḥiʾel Lurya; Giovanni De Gara; Gara, Giovanni","Hebrew","book_printbook","","בבית זואן די גארה Nidpas be-Ṿenetsiyah be-vet Zuan di Garah [1601] = [5]361","","","2021-10-26 18:12"
"1130236375","סדר שחיטות ובדיקות / Seder sheḥiṭot u-vediḳot","ווייל, יעקב בן יהודה, 1390-1453, מחבר. Jacob ben Judah Weil; Shelomoh b  Mosheh Ṿelḥ;  Aharon b  Daṿid, ha-Levi;  Uri ben Aaron, ha-Levi","Hebrew","book_printbook","","בדפוס הרר אורי פייבש בן מהור""ר אהרן הלוי זצ""ל, Nidpas poh ḳ.ḳ. Zalḳaṿi : bi-defus ha-r.R. Uri Feivish ben mo.ha.r.R. Aharon ha-Levi za.tsa.l., r.ḥ. Elul 464 [31 August 1704]","","","2021-10-26 18:12"
"122811801","סדר שחיטות : Seder sheḥiṭot","Samuel ben Moses Zarfati;","Hebrew","book_printbook","","י. שרזינה, Venitsiʼah : Y. Sherazina, [16--?]","","","2021-10-26 18:12"
"122752962","ספר אהל יצחק : על דיני שחיטות ובדיקות. Sefer Ohel Yitsḥaḳ : ʻal dine sheḥiṭot u-vediḳot.","Yitsḥaḳ, Baʻal ha-meḥaber Sefer Ohel Yitsḥaḳ.","Hebrew","book_printbook","","[Sudilkov] : [publisher not identified], [1827]","","","2021-10-26 18:12"
"253911813","Shaʻare Dura Sefer ha-sheʻarim, She-ḥibber R. Yitsḥaḳ mi-Dwrʼ[aus Dueren]; ʻIm hagahot Mhrrʼaj [d.i. Yi'srael Isserlein]; ve-ni-tosaf ḥibbur Shelomo Ben Yeḥiel Loria: ʻAṭeret Shelomo; ([Nebst:] Yaʻaḳov Weil: Sheḥiṭot u-bediḳot [mit Komm. v.] Shelomo Loria)","Yitsḥaḳ Dueren; Yisrael Isserlein; Shelomo Ben-Yeḥiel Loria; Yaʻaḳov Weil","","book_printbook","","Lublin (Yoel Ben-Aharon Levi, Jospe Ben Yehuda, Yaʻaḳov Ben-Meir) 359 [1598/99]","","","2021-10-26 18:12"
"84732585","Sefer ʼohel Yitsḥaḳ.","Isaac ben Eliezer.","Hebrew","book_printbook","","Lemberg, 1838.","","","2021-10-26 18:11"
"7032569","Zeh ha-pinḳas shel sheḥiṭot ;","Isaiah ben Eliakim, of Ancona","Hebrew","book_mic","","Pessaro, 1635-1677.","","","2021-10-26 18:11"
